"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"Jan '18","2.223,50","2.253,50","2.266,00","2.138,50","0,69K","-1,54%"
"Des '17","2.258,25","2.063,00","2.272,00","1.993,75","1,20K","11,08%"
"Nov '17","2.033,00","2.159,75","2.173,35","2.029,50","6,06K","-5,28%"
"Okt '17","2.146,25","2.083,50","2.180,25","2.083,50","0,33K","3,14%"
"Sep '17","2.081,00","2.076,00","2.173,63","2.072,75","0,81K","-1,06%"
"Ags '17","2.103,25","1.890,75","2.114,00","1.890,75","0,21K","10,71%"
"Jul '17","1.899,75","1.925,75","1.936,50","1.876,25","0,61K","-0,56%"
"Jun '17","1.910,50","1.923,75","1.923,75","1.857,25","-","-0,51%"
"Mei '17","1.920,25","1.923,25","1.954,00","1.859,00","1,53K","0,85%"
"Apr '17","1.904,00","1.944,00","1.964,00","1.882,63","2,08K","-2,60%"
"Mar '17","1.954,75","1.943,50","1.971,50","1.852,75","0,62K","1,74%"
"Feb '17","1.921,25","1.805,75","1.920,25","1.803,50","1,81K","6,32%"
"Jan '17","1.807,00","1.687,25","1.862,75","1.686,25","-","6,67%"
"Des '16","1.694,00","1.722,00","1.755,00","1.682,00","0,22K","-2,26%"
"Nov '16","1.733,25","1.731,60","1.784,00","1.689,13","0,95K","-0,04%"
"Okt '16","1.734,00","1.669,50","1.737,75","1.605,25","3,01K","4,16%"
"Sep '16","1.664,75","1.604,25","1.664,00","1.542,05","10,20K","4,00%"
"Ags '16","1.600,75","1.626,00","1.688,50","1.602,50","4,33K","-2,20%"
"Jul '16","1.636,75","1.645,75","1.670,25","1.581,50","3,67K","-0,55%"
"Jun '16","1.645,75","1.560,00","1.646,75","1.532,25","4,56K","6,47%"
"Mei '16","1.545,75","1.631,75","1.631,75","1.520,00","4,60K","-7,65%"
"Apr '16","1.673,75","1.526,50","1.678,00","1.483,25","0,87K","10,94%"
"Mar '16","1.508,75","1.577,25","1.596,75","1.468,25","0,28K","-4,04%"
"Feb '16","1.572,25","1.525,75","1.586,50","1.478,25","2,33K","3,39%"
"Jan '16","1.520,75","1.473,25","1.530,25","1.448,00","0,41K","1,01%"
