"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"Okt '01","279,50","291,80","292,90","274,00","0,96K","-4,41%"
"Nov '01","273,90","280,50","280,50","272,60","27,21K","-2,00%"
"Des '01","278,70","274,20","281,30","271,20","2,90K","1,75%"
"Jan '02","282,10","279,00","283,20","276,70","27,50K","1,22%"
"Feb '02","296,70","282,30","308,00","282,20","5,10K","5,18%"
"Mar '02","302,60","298,00","304,50","298,00","4,24K","1,99%"
"Apr '02","308,90","302,60","312,50","297,50","2,66K","2,08%"
"Mei '02","326,50","307,50","329,00","306,80","28,82K","5,70%"
"Jun '02","313,50","326,60","330,30","316,00","6,89K","-3,98%"
"Jul '02","303,20","315,00","320,50","300,80","27,56K","-3,29%"
"Ags '02","312,40","303,20","318,00","298,00","4,22K","3,03%"
"Sep '02","323,90","312,50","324,20","312,50","4,39K","3,68%"
"Okt '02","318,00","322,00","322,90","309,80","3,93K","-1,82%"
"Nov '02","316,80","321,50","321,50","316,50","15,46K","-0,38%"
"Des '02","347,60","318,10","350,50","315,50","8,25K","9,72%"
"Jan '03","368,30","345,20","372,00","345,20","7,48K","5,96%"
"Feb '03","350,20","368,00","388,90","342,00","7,92K","-4,91%"
"Mar '03","335,90","342,70","343,00","328,40","30,92K","-4,08%"
"Apr '03","339,10","336,00","338,40","319,30","5,20K","0,95%"
"Mei '03","364,50","339,00","370,00","339,00","37,94K","7,49%"
"Jun '03","346,00","362,40","370,00","343,40","10,49K","-5,08%"
"Jul '03","354,00","344,00","362,00","344,00","37,36K","2,31%"
"Ags '03","375,70","354,10","375,00","346,00","5,88K","6,13%"
"Sep '03","385,40","375,00","388,70","375,00","8,83K","2,58%"
"Okt '03","384,50","385,50","394,00","368,00","3,78K","-0,23%"
"Nov '03","396,80","382,80","402,00","382,80","12,77K","3,20%"
"Des '03","415,70","397,20","415,80","397,00","10,49K","4,76%"
"Jan '04","402,20","422,50","428,20","396,50","56,01K","-3,25%"
"Feb '04","396,40","403,00","416,00","392,50","5,82K","-1,44%"
"Mar '04","427,30","397,50","428,00","391,10","41,43K","7,80%"
